id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_puskesmas,keterangan,jumlah,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,UPT AHMAD YANI,USIA PRODUKTIF,15787,ORANG,2019
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,UPT AHMAD YANI,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1518,ORANG,2019
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,UPT ANTAPANI,USIA PRODUKTIF,20736,ORANG,2019
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,UPT ANTAPANI,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1351,ORANG,2019
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,UPT ARCAMANIK,USIA PRODUKTIF,23309,ORANG,2019
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,UPT ARCAMANIK,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2913,ORANG,2019
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,UPT ASTANAANYAR,USIA PRODUKTIF,34962,ORANG,2019
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,UPT ASTANAANYAR,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,7345,ORANG,2019
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,UPT BABAKAN SURABAYA,USIA PRODUKTIF,26482,ORANG,2019
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,UPT BABAKAN SURABAYA,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1053,ORANG,2019
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,UPT BABAKAN TAROGONG,USIA PRODUKTIF,8523,ORANG,2019
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,UPT BABAKAN TAROGONG,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,967,ORANG,2019
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,UPT BABAKANSARI,USIA PRODUKTIF,64584,ORANG,2019
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,UPT BABAKANSARI,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2967,ORANG,2019
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,UPT BABATAN,USIA PRODUKTIF,21588,ORANG,2019
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,UPT BABATAN,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,914,ORANG,2019
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,UPT BALAIKOTA,USIA PRODUKTIF,5776,ORANG,2019
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,UPT BALAIKOTA,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2155,ORANG,2019
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,UPT CARINGIN,USIA PRODUKTIF,38072,ORANG,2019
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,UPT CARINGIN,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,17930,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,UPT CEMPAKA ARUM,USIA PRODUKTIF,6500,ORANG,2019
22,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,UPT CEMPAKA ARUM,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,2715,ORANG,2019
23,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,UPT CETARIP,USIA PRODUKTIF,13763,ORANG,2019
24,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,UPT CETARIP,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1918,ORANG,2019
25,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,UPT CIBADUYUT KIDUL,USIA PRODUKTIF,15135,ORANG,2019
26,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,UPT CIBADUYUT KIDUL,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,10141,ORANG,2019
27,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,UPT CIBADUYUT WETAN,USIA PRODUKTIF,13045,ORANG,2019
28,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,UPT CIBADUYUT WETAN,USIA PRODUKTIF MENDAPAT PELAYANAN KESEHATAN,1901,ORANG,2019
